AL,9,0.05
WA,12,0.95
OR,7,0.93
CA,55,0.95
NV,6,0.81
ID,4,0.04
UT,6,0.07
AZ,11,0.66
NM,5,0.91
CO,9,0.90
WY,3,0.03
MT,3,0.12
ND,3,0.04
SD,3,0.06
OK,7,0.04
TX,38,0.38
LA,8,0.07
AR,6,0.06
MO,10,0.14
IA,6,0.42
MN,10,0.80
WI,10,0.74
MI,16,0.77
IL,20,0.95
MS,6,0.08
GA,16,0.44
FL,29,0.59
NC,15,0.56
VA,13,0.90
WV,5,0.04
KY,8,0.06
PA,20,0.72
NY,29,0.94
NJ,14,0.95
MA,11,0.96
DC,3,0.98
ME,4,0.90
VT,3,0.96
NH,4,0.81
RI,4,0.97
CT,7,0.95
MD,10,0.96
OH,18,0.43
IN,11,0.11
NE,5,0.06
KS,6,0.13
TN,11,0.07
DE,3,0.96
AK,3,0.33
HI,4,0.96
SC,9,0.18
